<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Meyar Sanat-a,20200422,29164.89,29851,29165,29167.91,856230
Meyar Sanat-a,20200425,28586.48,29750,28586,29516.97,592857
Meyar Sanat-a,20200426,30106.44,30106,28927,29530.04,1429053
Meyar Sanat-a,20200427,30097.39,30121,29325,30006.85,468844
Meyar Sanat-a,20200428,30606.39,30606,29407,29654.78,620197
Meyar Sanat-a,20200429,30147.68,30247,29173,30229.16,1035291
Meyar Sanat-a,20200502,30825.68,30830,30231,30566.15,933006
Meyar Sanat-a,20200503,30831.72,31177,30711,31111.36,2306055
Meyar Sanat-a,20200504,31733.03,31733,30580,31709.89,1023205
Meyar Sanat-a,20200505,32343.63,32344,31076,32020.72,898432
Meyar Sanat-a,20200506,31380.95,32660,31381,32397.95,855544
Meyar Sanat-a,20200509,33045.76,33046,33046,32800.32,192907
Meyar Sanat-a,20200510,33456.18,33456,32144,33040.73,647444
Meyar Sanat-a,20200511,32380.85,32381,32381,32870.73,79798
Meyar Sanat-a,20200512,32213.86,32214,32214,32827.48,20605
Meyar Sanat-a,20200513,32171.61,32172,32172,32795.29,15373
Meyar Sanat-a,20200516,31483.56,31484,31484,32718.84,17762
Meyar Sanat-a,20200517,32064.98,32065,32065,32699.72,9159
Meyar Sanat-a,20200518,32045.87,32046,32046,32641.38,27468
Meyar Sanat-a,20200519,31989.54,31990,31990,32561.91,37460
Meyar Sanat-a,20200520,31260.24,31260,31260,32410.02,35700
Meyar Sanat-a,20200523,31260.24,31762,31762,32398.95,5112
Meyar Sanat-a,20200527,31751.13,31751,31751,32387.89,5498
Meyar Sanat-a,20200530,31093.26,31093,31093,32337.59,12030
Meyar Sanat-a,20200531,31691.78,31692,31692,32106.23,111177
Meyar Sanat-a,20200601,31464.44,31464,31464,32018.71,42576
Meyar Sanat-a,20200602,31378.94,31379,31379,32012.68,2907
Meyar Sanat-a,20200606,30733.13,30733,30733,31325.63,168625
Meyar Sanat-a,20200607,30699.94,30700,30700,31088.23,119475
Meyar Sanat-a,20200608,30466.56,30467,30467,30910.18,89858
Meyar Sanat-a,20200609,30292.54,30293,30293,30855.86,27552
Meyar Sanat-a,20200610,29622.59,29623,29623,29622.59,441338
Meyar Sanat-a,20200622,26154.15,26677,25631,26486.10,1595935
Meyar Sanat-a,20200623,27015.22,27015,25957,26890.49,776584
Meyar Sanat-a,20200624,26353.32,26353,26353,26583.68,194063
Meyar Sanat-a,20200627,26052.55,27009,26053,26076.69,923994
Meyar Sanat-a,20200628,25034.55,27119,25035,25745.74,699086
Meyar Sanat-a,20200629,26254.74,26255,25232,25458.04,283310
Meyar Sanat-a,20200630,24949.04,25903,24949,25014.43,1033555
Meyar Sanat-a,20200701,25514.38,25514,24514,24766.97,586828
Meyar Sanat-a,20200704,24272.05,25262,24272,24796.14,1574289
Meyar Sanat-a,20200713,25152.27,25152,25009,25150.27,527972
Meyar Sanat-a,20200714,25652.46,25652,25652,25652.46,780713
